id,case,decided,justice,MQScore,vote,voteVal,altJustice,altMQScore,altVote,altVoteVal,pievalue
1,texasVJohnson,6211989,W Rehnquist,2.969,D,0,W Rehnquist,2.969,D,0,1
2,texasVJohnson,6211989,A Scalia,2.5145,M,1,A Scalia,2.5145,D,0,1
3,texasVJohnson,6211989,W Brennan,1.7802,M,1,W Brennan,1.7802,D,0,1
4,texasVJohnson,6211989,S D O'Connor,1.0147,D,0,S D O'Connor,1.0147,D,0,1
5,texasVJohnson,6211989,A Kennedy,0.6823,M,1,A Kennedy,0.6823,M,1,1
6,texasVJohnson,6211989,B White,0.436,D,0,B White,0.436,M,1,1
7,texasVJohnson,6211989,H Blackmun,-0.0273,M,1,H Blackmun,-0.0273,M,1,1
8,texasVJohnson,6211989,J P Stevens,-1.8098,D,0,J P Stevens,-1.8098,M,1,1
9,texasVJohnson,6211989,T Marshall,-2.8313,M,1,T Marshall,-2.8313,M,1,1
