id,case,decided,justice,MQScore,vote,voteVal,altJustice,altMQScore,altVote,altVoteVal,pievalue
1,citizensUnitedVfec,1212010,C Thomas,3.6037,M,1,S Alito,1.8167,D,0,1
2,citizensUnitedVfec,1212010,A Scalia,2.5145,M,1,[GWBush 4],1.3735,D,0,1
3,citizensUnitedVfec,1212010,S Alito,1.8167,M,1,[GWBush 3],1.3735,D,0,1
4,citizensUnitedVfec,1212010,J Roberts,0.9303,M,1,J Roberts,0.9303,D,0,1
5,citizensUnitedVfec,1212010,A Kennedy,0.6823,M,1,S Breyer,-1.2332,M,1,1
6,citizensUnitedVfec,1212010,S Breyer,-1.2332,D,0,[Clinton 4],-1.4821,M,1,1
7,citizensUnitedVfec,1212010,R Ginsburg,-1.731,D,0,[Clinton 3],-1.4821,M,1,1
8,citizensUnitedVfec,1212010,J P Stevens,-1.8098,D,0,R Ginsburg,-1.731,M,1,1
9,citizensUnitedVfec,1212010,S Sotomayor,-2.6794,D,0,S Sotomayor,-2.6794,M,1,1
