Month,President,Party,MQScore,Justice,Value
Dec-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Dec-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Dec-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Dec-80,Carter,Dem,J4MQ,P Stewart,0.4022
Dec-80,Carter,Dem,J5MQ,B White,0.436
Dec-80,Carter,Dem,J6MQ,L Powell,0.9696
Dec-80,Carter,Dem,J7MQ,W Brennan,1.7802
Dec-80,Carter,Dem,J8MQ,W Burger,1.89
Dec-80,Carter,Dem,J9MQ,W Rehnquist,2.969
Nov-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Nov-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Nov-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Nov-80,Carter,Dem,J4MQ,P Stewart,0.4022
Nov-80,Carter,Dem,J5MQ,B White,0.436
Nov-80,Carter,Dem,J6MQ,L Powell,0.9696
Nov-80,Carter,Dem,J7MQ,W Brennan,1.7802
Nov-80,Carter,Dem,J8MQ,W Burger,1.89
Nov-80,Carter,Dem,J9MQ,W Rehnquist,2.969
Oct-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Oct-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Oct-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Oct-80,Carter,Dem,J4MQ,P Stewart,0.4022
Oct-80,Carter,Dem,J5MQ,B White,0.436
Oct-80,Carter,Dem,J6MQ,L Powell,0.9696
Oct-80,Carter,Dem,J7MQ,W Brennan,1.7802
Oct-80,Carter,Dem,J8MQ,W Burger,1.89
Oct-80,Carter,Dem,J9MQ,W Rehnquist,2.969
Sep-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Sep-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Sep-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Sep-80,Carter,Dem,J4MQ,P Stewart,0.4022
Sep-80,Carter,Dem,J5MQ,B White,0.436
Sep-80,Carter,Dem,J6MQ,L Powell,0.9696
Sep-80,Carter,Dem,J7MQ,W Brennan,1.7802
Sep-80,Carter,Dem,J8MQ,W Burger,1.89
Sep-80,Carter,Dem,J9MQ,W Rehnquist,2.969
Aug-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Aug-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Aug-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Aug-80,Carter,Dem,J4MQ,P Stewart,0.4022
Aug-80,Carter,Dem,J5MQ,B White,0.436
Aug-80,Carter,Dem,J6MQ,L Powell,0.9696
Aug-80,Carter,Dem,J7MQ,W Brennan,1.7802
Aug-80,Carter,Dem,J8MQ,W Burger,1.89
Aug-80,Carter,Dem,J9MQ,W Rehnquist,2.969
Jul-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Jul-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Jul-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Jul-80,Carter,Dem,J4MQ,P Stewart,0.4022
Jul-80,Carter,Dem,J5MQ,B White,0.436
Jul-80,Carter,Dem,J6MQ,L Powell,0.9696
Jul-80,Carter,Dem,J7MQ,W Brennan,1.7802
Jul-80,Carter,Dem,J8MQ,W Burger,1.89
Jul-80,Carter,Dem,J9MQ,W Rehnquist,2.969
Jun-80,Carter,Dem,J1MQ,T Marshall,-2.8313
Jun-80,Carter,Dem,J2MQ,J P Stevens,-1.8098
Jun-80,Carter,Dem,J3MQ,H Blackmun,-0.0273
Jun-80,Carter,Dem,J4MQ,P Stewart,0.4022
Jun-80,Carter,Dem,J5MQ,B White,0.436
Jun-80,Carter,Dem,J6MQ,L Powell,0.9696
