id,case,decided,justice,MQScore,vote,voteVal,altJustice,altMQScore,altVote,altVoteVal,pievalue
1,bushVgore,12122000,C Thomas,3.6037,M,1,C Thomas,3.6037,D,0,1
2,bushVgore,12122000,W Rehnquist,2.969,M,1,A Scalia,2.5145,D,0,1
3,bushVgore,12122000,A Scalia,2.5145,M,1,[G H W Bush 2],1.4156,D,0,1
4,bushVgore,12122000,S D O'Connor,1.0147,M,1,A Kennedy,0.6823,D,0,1
5,bushVgore,12122000,A Kennedy,0.6823,M,1,D Souter,-0.7725,M,1,1
6,bushVgore,12122000,D Souter,-0.7725,D,0,S Breyer,-1.2332,M,1,1
7,bushVgore,12122000,S Breyer,-1.2332,D,0,[Clinton 4],-1.4821,M,1,1
8,bushVgore,12122000,R Ginsburg,-1.731,D,0,[Clinton 3],-1.4821,M,1,1
9,bushVgore,12122000,J P Stevens,-1.8098,D,0,R Ginsburg,-1.731,M,1,1
