ColorGroup,HTMLName,Hex,RGB
Red,INDIANRED,#CD5C5C,"RGB(205, 92, 92)"
Red,LIGHTCORAL,#F08080,"RGB(240, 128, 128)"
Red,SALMON,#FA8072,"RGB(250, 128, 114)"
Red,DARKSALMON,#E9967A,"RGB(233, 150, 122)"
Red,LIGHTSALMON,#FFA07A,"RGB(255, 160, 122)"
Red,CRIMSON,#DC143C,"RGB(220, 20, 60)"
Red,RED,#FF0000,"RGB(255, 0, 0)"
Red,FIREBRICK,#B22222,"RGB(178, 34, 34)"
Red,DARKRED,#8B0000,"RGB(139, 0, 0)"
