ColorGroup,HTMLName,Hex,RGB
Orange,LIGHTSALMON,#FFA07A,"RGB(255, 160, 122)"
Orange,CORAL,#FF7F50,"RGB(255, 127, 80)"
Orange,TOMATO,#FF6347,"RGB(255, 99, 71)"
Orange,ORANGERED,#FF4500,"RGB(255, 69, 0)"
Orange,DARKORANGE,#FF8C00,"RGB(255, 140, 0)"
Orange,ORANGE,#FFA500,"RGB(255, 165, 0)"
