Number,Album,Year,Rating,Lisa,Steven
0,Help!,1965,Classic,0,2
1,Help!,1965,Real Good,2,2
2,Help!,1965,Solid,3,1
3,Help!,1965,Decent,1,1
4,Help!,1965,Okay,0,1
5,Help!,1965,Not Bad,4,1
6,Help!,1965,No,4,6
